cohort,variable,n_observed,mean,std,missing_pct
uci_cleveland,age,303,54.43894389438944,9.038662442446746,0.0
uci_cleveland,sex,303,0.6798679867986799,0.46729882777012993,0.0
uci_cleveland,sbp,303,131.68976897689768,17.59974772958769,0.0
uci_cleveland,dbp,0,,,100.0
uci_cleveland,chol,303,2.3531353135313533,0.7441038021570557,0.0
uci_cleveland,smoke,0,,,100.0
uci_cleveland,diabetes,303,0.1485148514851485,0.35619787492797644,0.0
uci_cleveland,bmi,0,,,100.0
uci_cleveland,prevalence_target,303,0.45874587458745875,,0.0
framingham,age,4240,49.58018867924528,8.57294217547334,0.0
framingham,sex,4240,0.42924528301886794,0.4950268328135282,0.0
framingham,sbp,4240,132.35459905660377,22.033299608849184,0.0
framingham,dbp,4240,82.89775943396226,11.91039448330595,0.0
framingham,chol,4190,2.2505966587112174,0.7645889132983797,1.179245283018868
framingham,smoke,4240,0.49410377358490565,0.5000242019006145,0.0
framingham,diabetes,4240,0.025707547169811322,0.15828006133169917,0.0
framingham,bmi,4221,25.80080075811419,4.079840168944382,0.4481132075471698
framingham,prevalence_target,4240,0.15188679245283018,,0.0
kaggle_cvd70k,age,70000,53.3028495942114,6.754966919209859,0.0
kaggle_cvd70k,sex,70000,0.3495714285714286,0.47683801558286387,0.0
kaggle_cvd70k,sbp,70000,128.8172857142857,154.01141945609137,0.0
kaggle_cvd70k,dbp,70000,96.63041428571428,188.47253029639026,0.0
kaggle_cvd70k,chol,70000,1.3668714285714285,0.680250348699381,0.0
kaggle_cvd70k,smoke,70000,0.08812857142857143,0.28348381676993517,0.0
kaggle_cvd70k,diabetes,70000,0.1503,0.3573677859759457,0.0
kaggle_cvd70k,bmi,70000,27.55651255127886,6.09151112338621,0.0
kaggle_cvd70k,prevalence_target,70000,0.4997,,0.0
statlog,age,270,54.43333333333333,9.109066523898207,0.0
statlog,sex,270,0.6777777777777778,0.46819540715526964,0.0
statlog,sbp,270,131.34444444444443,17.861608292800856,0.0
statlog,dbp,0,,,100.0
statlog,chol,270,2.4,0.728597981459845,0.0
statlog,smoke,0,,,100.0
statlog,diabetes,270,0.14814814814814814,0.3559064769707314,0.0
statlog,bmi,0,,,100.0
statlog,prevalence_target,270,0.4444444444444444,,0.0
